run_label,model,max_tokens,mode,seeds,final_best,auc,simple_regret,top10_hit,interventions,bad_interventions,rejected_good_challengers,active_rounds,llm_calls,parse_errors,note
v2_lite_prompt,openai/gpt-5.5,700,no_care_random,5,79.4526,77.7930,20.5474,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,shorter policy prompt after WeChat feedback; direct LLM weights
v2_lite_prompt,openai/gpt-5.5,700,incumbent,5,85.7591,80.4911,14.2409,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,shorter policy prompt after WeChat feedback; direct LLM weights
v2_lite_prompt,openai/gpt-5.5,700,transfer_gate_v1,5,91.5394,81.1316,8.4606,0.2000,4.0000,0.4000,0.0000,7.0000,0.0000,0.0000,shorter policy prompt after WeChat feedback; direct LLM weights
v2_lite_prompt,openai/gpt-5.5,700,llm_transfer_gate_v1,5,83.8706,80.4315,16.1294,0.0000,3.6000,1.4000,0.0000,6.4000,7.0000,0.6000,shorter policy prompt after WeChat feedback; direct LLM weights
v2_lite_prompt,openai/gpt-5.5,700,llm_audit_transfer_gate_v1,5,84.4245,80.4021,15.5755,0.0000,0.6000,0.2000,2.2000,7.0000,3.0000,0.0000,shorter policy prompt after WeChat feedback; direct LLM weights
v3_calibrated_700tok,openai/gpt-5.5,700,no_care_random,5,79.4526,77.7930,20.5474,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,LLM proposes candidate rules; replay target-calibrates weights and averages candidate signals
v3_calibrated_700tok,openai/gpt-5.5,700,incumbent,5,85.7591,80.4911,14.2409,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,LLM proposes candidate rules; replay target-calibrates weights and averages candidate signals
v3_calibrated_700tok,openai/gpt-5.5,700,transfer_gate_v1,5,91.5394,81.1316,8.4606,0.2000,4.0000,0.4000,0.0000,7.0000,0.0000,0.0000,LLM proposes candidate rules; replay target-calibrates weights and averages candidate signals
v3_calibrated_700tok,openai/gpt-5.5,700,llm_transfer_gate_v1,5,86.1182,80.8906,13.8818,0.0000,1.8000,0.6000,0.0000,5.6000,7.0000,1.4000,LLM proposes candidate rules; replay target-calibrates weights and averages candidate signals
v3_calibrated_700tok,openai/gpt-5.5,700,llm_audit_transfer_gate_v1,5,84.4245,80.4021,15.5755,0.0000,0.8000,0.2000,2.0000,7.0000,3.0000,0.0000,LLM proposes candidate rules; replay target-calibrates weights and averages candidate signals
v3_strict_700tok,openai/gpt-5.5,700,no_care_random,5,79.4526,77.7930,20.5474,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,v3 plus strict multi-positive-signal requirement
v3_strict_700tok,openai/gpt-5.5,700,incumbent,5,85.7591,80.4911,14.2409,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,v3 plus strict multi-positive-signal requirement
v3_strict_700tok,openai/gpt-5.5,700,transfer_gate_v1,5,91.5394,81.1316,8.4606,0.2000,4.0000,0.4000,0.0000,7.0000,0.0000,0.0000,v3 plus strict multi-positive-signal requirement
v3_strict_700tok,openai/gpt-5.5,700,llm_transfer_strict_gate_v1,5,85.7591,80.5356,14.2409,0.0000,0.8000,0.4000,0.0000,4.6000,7.0000,2.4000,v3 plus strict multi-positive-signal requirement
v3_strict_700tok,openai/gpt-5.5,700,llm_audit_transfer_strict_gate_v1,5,85.7591,80.4911,14.2409,0.0000,0.0000,0.0000,0.2000,6.0000,0.2000,0.0000,v3 plus strict multi-positive-signal requirement
v3_calibrated_1200tok_retry,openai/gpt-5.5,1200,no_care_random,5,79.4526,77.7930,20.5474,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,v3 with larger completion budget and socket-timeout retry support
v3_calibrated_1200tok_retry,openai/gpt-5.5,1200,incumbent,5,85.7591,80.4911,14.2409,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,v3 with larger completion budget and socket-timeout retry support
v3_calibrated_1200tok_retry,openai/gpt-5.5,1200,transfer_gate_v1,5,91.5394,81.1316,8.4606,0.2000,4.0000,0.4000,0.0000,7.0000,0.0000,0.0000,v3 with larger completion budget and socket-timeout retry support
v3_calibrated_1200tok_retry,openai/gpt-5.5,1200,llm_transfer_gate_v1,5,83.7647,79.3245,16.2353,0.0000,2.2000,0.8000,0.0000,7.0000,7.0000,0.0000,v3 with larger completion budget and socket-timeout retry support
v3_calibrated_1200tok_retry,openai/gpt-5.5,1200,llm_audit_transfer_gate_v1,5,84.4245,80.4021,15.5755,0.0000,0.8000,0.2000,2.0000,7.0000,3.0000,0.0000,v3 with larger completion budget and socket-timeout retry support
