mode,seed,round_index,observed_count,selected_by,gate_authorized,gate_reason,revealed_value,best_so_far,transfer_active,open_policy,unlocked_policy,scored_candidates,positive_adjustments,negative_adjustments,max_abs_adjustment,applied_specs,rejected_specs,llm_called,llm_open_policy,llm_unlocked_policy,llm_decision,llm_approved,llm_confidence,llm_parse_error
incumbent,1,4,9,incumbent,False,baseline_incumbent_only,85.2207,85.2207,,,,0,0,0,0,0,0,,,,,,,False
incumbent,1,5,10,incumbent,False,baseline_incumbent_only,84.4027,85.2207,,,,0,0,0,0,0,0,,,,,,,False
incumbent,1,6,11,incumbent,False,baseline_incumbent_only,86.1982,86.1982,,,,0,0,0,0,0,0,,,,,,,False
incumbent,1,7,12,incumbent,False,baseline_incumbent_only,92.659,92.659,,,,0,0,0,0,0,0,,,,,,,False
incumbent,1,8,13,incumbent,False,baseline_incumbent_only,92.1307,92.659,,,,0,0,0,0,0,0,,,,,,,False
incumbent,1,9,14,incumbent,False,baseline_incumbent_only,92.3912,92.659,,,,0,0,0,0,0,0,,,,,,,False
incumbent,2,0,5,incumbent,False,baseline_incumbent_only,65.0666,75.2915,,,,0,0,0,0,0,0,,,,,,,False
incumbent,2,1,6,incumbent,False,baseline_incumbent_only,49.3022,75.2915,,,,0,0,0,0,0,0,,,,,,,False
incumbent,2,2,7,incumbent,False,baseline_incumbent_only,36.5499,75.2915,,,,0,0,0,0,0,0,,,,,,,False
incumbent,2,3,8,incumbent,False,baseline_incumbent_only,38.5232,75.2915,,,,0,0,0,0,0,0,,,,,,,False
incumbent,2,4,9,incumbent,False,baseline_incumbent_only,52.9077,75.2915,,,,0,0,0,0,0,0,,,,,,,False
incumbent,2,5,10,incumbent,False,baseline_incumbent_only,54.2458,75.2915,,,,0,0,0,0,0,0,,,,,,,False
incumbent,2,6,11,incumbent,False,baseline_incumbent_only,46.7621,75.2915,,,,0,0,0,0,0,0,,,,,,,False
incumbent,2,7,12,incumbent,False,baseline_incumbent_only,79.7398,79.7398,,,,0,0,0,0,0,0,,,,,,,False
incumbent,2,8,13,incumbent,False,baseline_incumbent_only,86.4129,86.4129,,,,0,0,0,0,0,0,,,,,,,False
incumbent,2,9,14,incumbent,False,baseline_incumbent_only,80.0277,86.4129,,,,0,0,0,0,0,0,,,,,,,False
incumbent,3,0,5,incumbent,False,baseline_incumbent_only,49.4049,74.3952,,,,0,0,0,0,0,0,,,,,,,False
incumbent,3,1,6,incumbent,False,baseline_incumbent_only,84.4027,84.4027,,,,0,0,0,0,0,0,,,,,,,False
incumbent,3,2,7,incumbent,False,baseline_incumbent_only,68.5749,84.4027,,,,0,0,0,0,0,0,,,,,,,False
incumbent,3,3,8,incumbent,False,baseline_incumbent_only,64.6676,84.4027,,,,0,0,0,0,0,0,,,,,,,False
incumbent,3,4,9,incumbent,False,baseline_incumbent_only,25.9397,84.4027,,,,0,0,0,0,0,0,,,,,,,False
incumbent,3,5,10,incumbent,False,baseline_incumbent_only,26.3919,84.4027,,,,0,0,0,0,0,0,,,,,,,False
incumbent,3,6,11,incumbent,False,baseline_incumbent_only,74.5113,84.4027,,,,0,0,0,0,0,0,,,,,,,False
incumbent,3,7,12,incumbent,False,baseline_incumbent_only,74.0474,84.4027,,,,0,0,0,0,0,0,,,,,,,False
incumbent,3,8,13,incumbent,False,baseline_incumbent_only,32.8898,84.4027,,,,0,0,0,0,0,0,,,,,,,False
incumbent,3,9,14,incumbent,False,baseline_incumbent_only,62.0819,84.4027,,,,0,0,0,0,0,0,,,,,,,False
incumbent,4,0,5,incumbent,False,baseline_incumbent_only,15.2207,61.6889,,,,0,0,0,0,0,0,,,,,,,False
incumbent,4,1,6,incumbent,False,baseline_incumbent_only,52.3137,61.6889,,,,0,0,0,0,0,0,,,,,,,False
incumbent,4,2,7,incumbent,False,baseline_incumbent_only,93.0289,93.0289,,,,0,0,0,0,0,0,,,,,,,False
incumbent,4,3,8,incumbent,False,baseline_incumbent_only,91.4851,93.0289,,,,0,0,0,0,0,0,,,,,,,False
incumbent,4,4,9,incumbent,False,baseline_incumbent_only,93.4211,93.4211,,,,0,0,0,0,0,0,,,,,,,False
incumbent,4,5,10,incumbent,False,baseline_incumbent_only,81.2755,93.4211,,,,0,0,0,0,0,0,,,,,,,False
incumbent,4,6,11,incumbent,False,baseline_incumbent_only,77.8508,93.4211,,,,0,0,0,0,0,0,,,,,,,False
incumbent,4,7,12,incumbent,False,baseline_incumbent_only,94.6911,94.6911,,,,0,0,0,0,0,0,,,,,,,False
incumbent,4,8,13,incumbent,False,baseline_incumbent_only,78.253,94.6911,,,,0,0,0,0,0,0,,,,,,,False
incumbent,4,9,14,incumbent,False,baseline_incumbent_only,79.6425,94.6911,,,,0,0,0,0,0,0,,,,,,,False
llm_audit_transfer_unlocked_gate_v1,0,0,5,incumbent,False,challenger_matches_incumbent,27.3101,70.6299,True,True,True,3069,1986,1083,0.194111,5,1,False,,,,,,False
llm_audit_transfer_unlocked_gate_v1,0,1,6,incumbent,False,challenger_matches_incumbent,46.6325,70.6299,True,True,True,3110,2146,964,0.2,6,0,False,,,,,,False
llm_audit_transfer_unlocked_gate_v1,0,2,7,incumbent,False,challenger_matches_incumbent,46.0142,70.6299,True,True,True,3109,2145,964,0.2,6,0,False,,,,,,False
llm_audit_transfer_unlocked_gate_v1,0,3,8,incumbent,False,challenger_matches_incumbent,34.8063,70.6299,False,True,True,0,0,0,0.0,0,0,False,,,,,,False
llm_audit_transfer_unlocked_gate_v1,0,4,9,incumbent,False,challenger_matches_incumbent,40.2711,70.6299,True,True,True,3107,2185,922,0.2,6,0,False,,,,,,False
llm_audit_transfer_unlocked_gate_v1,0,5,10,incumbent,False,challenger_matches_incumbent,14.8669,70.6299,True,True,True,3106,2184,922,0.2,6,0,False,,,,,,False
llm_audit_transfer_unlocked_gate_v1,0,6,11,incumbent,False,challenger_matches_incumbent,26.6781,70.6299,True,True,True,3105,2183,922,0.2,6,0,False,,,,,,False
llm_audit_transfer_unlocked_gate_v1,0,7,12,llm_audit_transfer_unlocked_gate_v1,True,llm_audit_approved_challenger,31.678,70.6299,True,True,True,3104,2168,936,0.2,6,0,True,True,True,approve,True,0.78,False
llm_audit_transfer_unlocked_gate_v1,0,8,13,incumbent,False,challenger_matches_incumbent,38.9505,70.6299,True,True,True,3103,2181,922,0.2,6,0,False,,,,,,False
llm_audit_transfer_unlocked_gate_v1,0,9,14,incumbent,False,challenger_matches_incumbent,64.8842,70.6299,True,True,True,3102,2180,922,0.2,6,0,False,,,,,,False
llm_audit_transfer_unlocked_gate_v1,1,0,5,incumbent,False,challenger_matches_incumbent,52.5994,74.0607,True,True,True,2861,1914,947,0.113316,6,0,False,,,,,,False
llm_audit_transfer_unlocked_gate_v1,1,1,6,incumbent,False,challenger_matches_incumbent,60.5287,74.0607,True,True,True,3112,2191,921,0.2,6,0,False,,,,,,False
llm_audit_transfer_unlocked_gate_v1,1,2,7,incumbent,False,challenger_matches_incumbent,13.791,74.0607,True,True,True,3111,2190,921,0.2,6,0,False,,,,,,False
llm_audit_transfer_unlocked_gate_v1,1,3,8,incumbent,False,challenger_matches_incumbent,45.7793,74.0607,False,True,True,0,0,0,0.0,0,0,False,,,,,,False
llm_audit_transfer_unlocked_gate_v1,1,4,9,incumbent,False,challenger_matches_incumbent,85.2207,85.2207,True,True,True,2829,2188,641,0.2,6,0,False,,,,,,False
llm_audit_transfer_unlocked_gate_v1,1,5,10,incumbent,False,challenger_matches_incumbent,84.4027,85.2207,True,True,True,2828,2185,643,0.2,6,0,False,,,,,,False
llm_audit_transfer_unlocked_gate_v1,1,6,11,incumbent,False,challenger_matches_incumbent,86.1982,86.1982,True,True,True,2827,2143,684,0.2,6,0,False,,,,,,False
llm_audit_transfer_unlocked_gate_v1,1,7,12,incumbent,False,challenger_matches_incumbent,92.659,92.659,True,True,True,3105,2142,963,0.2,6,0,False,,,,,,False
llm_audit_transfer_unlocked_gate_v1,1,8,13,incumbent,False,challenger_matches_incumbent,92.1307,92.659,True,True,True,3104,2141,963,0.2,6,0,False,,,,,,False
llm_audit_transfer_unlocked_gate_v1,1,9,14,incumbent,False,challenger_matches_incumbent,92.3912,92.659,True,True,True,3103,2140,963,0.2,6,0,False,,,,,,False
llm_audit_transfer_unlocked_gate_v1,2,0,5,llm_audit_transfer_unlocked_gate_v1,True,llm_audit_approved_challenger,54.5647,75.2915,True,True,True,3950,2655,1295,0.152955,6,0,True,True,True,approve,True,0.76,False
llm_audit_transfer_unlocked_gate_v1,2,1,6,incumbent,False,challenger_matches_incumbent,65.0666,75.2915,True,True,True,3133,1773,1360,0.2,6,0,False,,,,,,False
llm_audit_transfer_unlocked_gate_v1,2,2,7,incumbent,False,challenger_matches_incumbent,49.3022,75.2915,False,True,True,0,0,0,0.0,0,0,False,,,,,,False
llm_audit_transfer_unlocked_gate_v1,2,3,8,incumbent,False,challenger_matches_incumbent,38.5232,75.2915,True,True,True,3130,1936,1194,0.2,6,0,False,,,,,,False
llm_audit_transfer_unlocked_gate_v1,2,4,9,incumbent,False,challenger_matches_incumbent,36.5499,75.2915,False,True,True,0,0,0,0.0,0,0,False,,,,,,False
llm_audit_transfer_unlocked_gate_v1,2,5,10,incumbent,False,challenger_matches_incumbent,47.1376,75.2915,True,True,True,3128,1934,1194,0.2,6,0,False,,,,,,False
llm_audit_transfer_unlocked_gate_v1,2,6,11,incumbent,False,challenger_matches_incumbent,52.9077,75.2915,True,True,True,3106,1828,1278,0.2,6,0,False,,,,,,False
llm_audit_transfer_unlocked_gate_v1,2,7,12,incumbent,False,challenger_matches_incumbent,54.2458,75.2915,True,True,True,3357,2142,1215,0.2,6,0,False,,,,,,False
llm_audit_transfer_unlocked_gate_v1,2,8,13,incumbent,False,challenger_matches_incumbent,46.7621,75.2915,True,True,True,3103,1814,1289,0.2,6,0,False,,,,,,False
llm_audit_transfer_unlocked_gate_v1,2,9,14,incumbent,False,challenger_matches_incumbent,79.7398,79.7398,True,True,True,3123,1853,1270,0.2,6,0,False,,,,,,False
llm_audit_transfer_unlocked_gate_v1,3,0,5,incumbent,False,challenger_matches_incumbent,49.4049,74.3952,True,True,True,2441,2239,202,0.2,6,0,False,,,,,,False
llm_audit_transfer_unlocked_gate_v1,3,1,6,llm_audit_transfer_unlocked_gate_v1,True,llm_audit_approved_challenger,54.5647,74.3952,True,True,True,2391,2161,230,0.2,6,0,True,True,True,approve,True,0.72,False
llm_audit_transfer_unlocked_gate_v1,3,2,7,incumbent,False,challenger_matches_incumbent,34.2969,74.3952,False,True,True,0,0,0,0.0,0,0,False,,,,,,False
llm_audit_transfer_unlocked_gate_v1,3,3,8,incumbent,False,challenger_matches_incumbent,84.4027,84.4027,False,True,True,0,0,0,0.0,0,0,False,,,,,,False
llm_audit_transfer_unlocked_gate_v1,3,4,9,llm_audit_transfer_unlocked_gate_v1,True,llm_audit_approved_challenger,33.2203,84.4027,True,True,True,3109,2187,922,0.2,6,0,True,True,True,approve,True,0.76,False
llm_audit_transfer_unlocked_gate_v1,3,5,10,incumbent,False,challenger_matches_incumbent,86.1982,86.1982,True,True,True,3127,2158,969,0.170637,6,0,False,,,,,,False
llm_audit_transfer_unlocked_gate_v1,3,6,11,llm_audit_transfer_unlocked_gate_v1,True,llm_audit_approved_challenger,92.659,92.659,True,True,True,3127,2075,1052,0.2,6,0,True,True,True,approve,True,0.78,False
llm_audit_transfer_unlocked_gate_v1,3,7,12,incumbent,False,challenger_matches_incumbent,75.3018,92.659,False,True,True,0,0,0,0.0,0,0,False,,,,,,False
llm_audit_transfer_unlocked_gate_v1,3,8,13,incumbent,False,challenger_matches_incumbent,63.8808,92.659,True,True,True,3125,2159,966,0.2,6,0,False,,,,,,False
llm_audit_transfer_unlocked_gate_v1,3,9,14,llm_audit_transfer_unlocked_gate_v1,True,llm_audit_approved_challenger,91.4851,92.659,True,True,True,2903,1610,1293,0.2,6,0,True,True,True,approve,True,0.78,False
llm_audit_transfer_unlocked_gate_v1,4,0,5,llm_audit_transfer_unlocked_gate_v1,True,llm_audit_approved_challenger,64.6676,64.6676,True,True,True,3112,1771,1341,0.153458,6,0,True,True,True,approve,True,0.78,False
llm_audit_transfer_unlocked_gate_v1,4,1,6,incumbent,False,challenger_matches_incumbent,28.548,64.6676,True,True,True,3131,2085,1046,0.2,6,0,False,,,,,,False
llm_audit_transfer_unlocked_gate_v1,4,2,7,incumbent,False,challenger_matches_incumbent,13.8371,64.6676,True,True,True,3110,2128,982,0.2,6,0,False,,,,,,False
llm_audit_transfer_unlocked_gate_v1,4,3,8,llm_audit_transfer_unlocked_gate_v1,True,llm_audit_approved_challenger,25.9397,64.6676,True,True,True,3129,1770,1359,0.150565,6,0,True,True,True,approve,True,0.76,False
llm_audit_transfer_unlocked_gate_v1,4,4,9,llm_audit_transfer_unlocked_gate_v1,True,llm_audit_approved_challenger,13.8482,64.6676,True,True,True,3946,2186,1760,0.167393,6,0,True,True,True,approve,True,0.78,False
llm_audit_transfer_unlocked_gate_v1,4,5,10,incumbent,False,challenger_matches_incumbent,30.8352,64.6676,False,True,True,0,0,0,0.0,0,0,False,,,,,,False
llm_audit_transfer_unlocked_gate_v1,4,6,11,incumbent,False,challenger_matches_incumbent,14.7415,64.6676,False,True,True,0,0,0,0.0,0,0,False,,,,,,False
llm_audit_transfer_unlocked_gate_v1,4,7,12,llm_audit_transfer_unlocked_gate_v1,True,llm_audit_approved_challenger,12.7447,64.6676,True,True,True,3125,2124,1001,0.132647,6,0,True,True,True,approve,True,0.72,False
llm_audit_transfer_unlocked_gate_v1,4,8,13,llm_audit_transfer_unlocked_gate_v1,True,llm_audit_approved_challenger,28.3044,64.6676,True,True,True,2266,2177,89,0.121513,5,1,True,True,True,approve,True,0.74,False
llm_audit_transfer_unlocked_gate_v1,4,9,14,llm_audit_transfer_unlocked_gate_v1,True,llm_audit_approved_challenger,84.4027,84.4027,True,True,True,3101,2076,1025,0.092925,6,0,True,True,True,approve,True,0.72,False
llm_transfer_unlocked_gate_v1,0,0,5,incumbent,False,challenger_matches_incumbent,27.3101,70.6299,True,True,True,3111,2084,1027,0.192606,6,0,True,True,True,,,,False
llm_transfer_unlocked_gate_v1,0,1,6,incumbent,False,challenger_matches_incumbent,46.6325,70.6299,True,True,True,3949,2107,1842,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_gate_v1,0,2,7,incumbent,False,challenger_matches_incumbent,46.0142,70.6299,True,True,True,3109,2145,964,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_gate_v1,0,3,8,incumbent,False,challenger_matches_incumbent,34.8063,70.6299,True,True,True,3108,2186,922,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_gate_v1,0,4,9,incumbent,False,challenger_matches_incumbent,40.2711,70.6299,True,True,True,3107,2185,922,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_gate_v1,0,5,10,incumbent,False,challenger_matches_incumbent,14.8669,70.6299,True,True,True,3106,2184,922,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_gate_v1,0,6,11,incumbent,False,challenger_matches_incumbent,26.6781,70.6299,True,True,True,3105,2081,1024,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_gate_v1,0,7,12,incumbent,False,challenger_matches_incumbent,38.9505,70.6299,True,True,True,3125,2311,814,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_gate_v1,0,8,13,incumbent,False,challenger_matches_incumbent,64.8842,70.6299,True,True,True,3103,2181,922,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_gate_v1,0,9,14,incumbent,False,challenger_matches_incumbent,24.0134,70.6299,True,True,True,3102,2183,919,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_gate_v1,1,0,5,incumbent,False,challenger_matches_incumbent,52.5994,74.0607,True,True,True,2833,1835,998,0.123579,6,0,True,True,True,,,,False
llm_transfer_unlocked_gate_v1,1,1,6,incumbent,False,challenger_matches_incumbent,60.5287,74.0607,False,True,True,0,0,0,0.0,0,0,True,True,True,,,,True
llm_transfer_unlocked_gate_v1,1,2,7,incumbent,False,challenger_matches_incumbent,13.791,74.0607,True,True,True,3111,2148,963,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_gate_v1,1,3,8,incumbent,False,challenger_matches_incumbent,45.7793,74.0607,False,True,True,0,0,0,0.0,0,0,True,True,True,,,,True
llm_transfer_unlocked_gate_v1,1,4,9,incumbent,False,challenger_matches_incumbent,85.2207,85.2207,False,True,True,0,0,0,0.0,0,0,True,True,True,,,,True
llm_transfer_unlocked_gate_v1,1,5,10,incumbent,False,challenger_matches_incumbent,84.4027,85.2207,False,True,True,0,0,0,0.0,0,0,True,True,True,,,,True
llm_transfer_unlocked_gate_v1,1,6,11,incumbent,False,challenger_matches_incumbent,86.1982,86.1982,False,True,True,0,0,0,0.0,0,0,True,True,True,,,,True
llm_transfer_unlocked_gate_v1,1,7,12,incumbent,False,challenger_matches_incumbent,92.659,92.659,True,True,True,3105,2184,921,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_gate_v1,1,8,13,incumbent,False,challenger_matches_incumbent,92.1307,92.659,False,True,True,0,0,0,0.0,0,0,True,True,True,,,,True
llm_transfer_unlocked_gate_v1,1,9,14,incumbent,False,challenger_matches_incumbent,92.3912,92.659,True,True,True,3103,2140,963,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_gate_v1,2,0,5,llm_transfer_unlocked_gate_v1,True,authorized_bounded_skill_adjustment,54.5647,75.2915,True,True,True,3134,1774,1360,0.147225,6,0,True,True,True,,,,False
llm_transfer_unlocked_gate_v1,2,1,6,incumbent,False,challenger_matches_incumbent,65.0666,75.2915,True,True,True,3133,1789,1344,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_gate_v1,2,2,7,incumbent,False,challenger_matches_incumbent,49.3022,75.2915,True,True,True,3362,2147,1215,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_gate_v1,2,3,8,incumbent,False,challenger_matches_incumbent,38.5232,75.2915,True,True,True,3130,1852,1278,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_gate_v1,2,4,9,incumbent,False,challenger_matches_incumbent,36.5499,75.2915,False,True,True,0,0,0,0.0,0,0,True,True,True,,,,True
llm_transfer_unlocked_gate_v1,2,5,10,incumbent,False,challenger_matches_incumbent,47.1376,75.2915,True,True,True,3129,1901,1228,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_gate_v1,2,6,11,incumbent,False,challenger_matches_incumbent,52.9077,75.2915,True,True,True,3358,2143,1215,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_gate_v1,2,7,12,incumbent,False,challenger_matches_incumbent,54.2458,75.2915,True,True,True,3126,1847,1279,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_gate_v1,2,8,13,incumbent,False,challenger_matches_incumbent,46.7621,75.2915,True,True,True,3355,2140,1215,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_gate_v1,2,9,14,incumbent,False,challenger_matches_incumbent,79.7398,79.7398,True,True,True,2903,1590,1313,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_gate_v1,3,0,5,incumbent,False,challenger_matches_incumbent,49.4049,74.3952,True,True,True,2441,2071,370,0.187642,6,0,True,True,True,,,,False
llm_transfer_unlocked_gate_v1,3,1,6,llm_transfer_unlocked_gate_v1,True,authorized_bounded_skill_adjustment,23.316,74.3952,True,True,True,2439,2052,387,0.182576,6,0,True,True,True,,,,False
llm_transfer_unlocked_gate_v1,3,2,7,incumbent,False,challenger_matches_incumbent,32.0383,74.3952,False,True,True,0,0,0,0.0,0,0,True,True,True,,,,True
llm_transfer_unlocked_gate_v1,3,3,8,incumbent,False,challenger_matches_incumbent,84.4027,84.4027,False,True,True,0,0,0,0.0,0,0,True,True,True,,,,True
llm_transfer_unlocked_gate_v1,3,4,9,llm_transfer_unlocked_gate_v1,True,authorized_bounded_skill_adjustment,33.2203,84.4027,True,True,True,3946,2055,1891,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_gate_v1,3,5,10,incumbent,False,challenger_matches_incumbent,86.1982,86.1982,False,True,True,0,0,0,0.0,0,0,True,True,True,,,,True
llm_transfer_unlocked_gate_v1,3,6,11,incumbent,False,challenger_matches_incumbent,43.4728,86.1982,True,True,True,3944,2101,1843,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_gate_v1,3,7,12,incumbent,False,challenger_matches_incumbent,92.659,92.659,False,True,True,0,0,0,0.0,0,0,True,True,True,,,,True
llm_transfer_unlocked_gate_v1,3,8,13,incumbent,False,challenger_matches_incumbent,92.1307,92.659,True,True,True,3942,2099,1843,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_gate_v1,3,9,14,incumbent,False,challenger_matches_incumbent,92.3912,92.659,True,True,True,3125,2115,1010,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_gate_v1,4,0,5,llm_transfer_unlocked_gate_v1,True,authorized_bounded_skill_adjustment,64.6676,64.6676,True,True,True,3112,1774,1338,0.159479,6,0,True,True,True,,,,False
llm_transfer_unlocked_gate_v1,4,1,6,incumbent,False,challenger_matches_incumbent,28.548,64.6676,True,True,True,3363,2064,1299,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_gate_v1,4,2,7,incumbent,False,challenger_matches_incumbent,13.8371,64.6676,True,True,True,3050,2065,985,0.2,5,0,True,True,True,,,,False
llm_transfer_unlocked_gate_v1,4,3,8,llm_transfer_unlocked_gate_v1,True,authorized_bounded_skill_adjustment,84.4027,84.4027,True,True,True,2388,950,1438,0.143257,6,0,True,True,True,,,,False
llm_transfer_unlocked_gate_v1,4,4,9,incumbent,False,challenger_matches_incumbent,92.659,92.659,True,True,True,3127,2184,943,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_gate_v1,4,5,10,incumbent,False,challenger_matches_incumbent,14.5008,92.659,True,True,True,3357,2108,1249,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_gate_v1,4,6,11,incumbent,False,challenger_matches_incumbent,93.0289,93.0289,True,True,True,3125,2141,984,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_gate_v1,4,7,12,incumbent,False,challenger_matches_incumbent,91.4851,93.0289,False,True,True,0,0,0,0.0,0,0,True,True,True,,,,True
llm_transfer_unlocked_gate_v1,4,8,13,incumbent,False,challenger_matches_incumbent,93.4211,93.4211,True,True,True,3124,2141,983,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_gate_v1,4,9,14,incumbent,False,challenger_matches_incumbent,81.2755,93.4211,True,True,True,3123,2140,983,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_no_gate_v1,0,0,5,incumbent,False,challenger_matches_incumbent,27.3101,70.6299,True,True,True,3362,1712,1650,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_no_gate_v1,0,1,6,incumbent,False,challenger_matches_incumbent,46.6325,70.6299,True,True,True,3110,2146,964,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_no_gate_v1,0,2,7,incumbent,False,challenger_matches_incumbent,46.0142,70.6299,True,True,True,3109,2145,964,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_no_gate_v1,0,3,8,incumbent,False,challenger_matches_incumbent,34.8063,70.6299,True,True,True,3108,2186,922,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_no_gate_v1,0,4,9,incumbent,False,challenger_matches_incumbent,40.2711,70.6299,True,True,True,3107,2185,922,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_no_gate_v1,0,5,10,incumbent,False,challenger_matches_incumbent,14.8669,70.6299,True,True,True,3106,2068,1038,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_no_gate_v1,0,6,11,incumbent,False,challenger_matches_incumbent,26.6781,70.6299,True,True,True,2389,2312,77,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_no_gate_v1,0,7,12,incumbent,False,challenger_matches_incumbent,38.9505,70.6299,True,True,True,3104,2182,922,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_no_gate_v1,0,8,13,incumbent,False,challenger_matches_incumbent,64.8842,70.6299,True,True,True,3103,2181,922,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_no_gate_v1,0,9,14,incumbent,False,challenger_matches_incumbent,24.0134,70.6299,True,True,True,2350,2267,83,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_no_gate_v1,1,0,5,incumbent,False,challenger_matches_incumbent,52.5994,74.0607,True,True,True,2394,2273,121,0.131297,6,0,True,True,True,,,,False
llm_transfer_unlocked_no_gate_v1,1,1,6,incumbent,False,challenger_matches_incumbent,60.5287,74.0607,True,True,True,2832,2177,655,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_no_gate_v1,1,2,7,incumbent,False,challenger_matches_incumbent,13.791,74.0607,True,True,True,3111,2190,921,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_no_gate_v1,1,3,8,incumbent,False,challenger_matches_incumbent,45.7793,74.0607,True,True,True,3108,2189,919,0.2,6,0,True,True,True,,,,False
llm_transfer_unlocked_no_gate_v1,1,4,9,incumbent,False,challenger_matches_incumbent,85.2207,85.2207,False,True,True,0,0,0,0.0,0,0,True,True,True,,,,True
llm_transfer_unlocked_no_gate_v1,1,5,10,incumbent,False,challenger_matches_incumbent,84.4027,85.2207,False,True,True,0,0,0,0.0,0,0,True,True,True,,,,True
llm_transfer_unlocked_no_gate_v1,1,6,11,incumbent,False,challenger_matches_incumbent,86.1982,86.1982,True,True,True,3106,2143,963,0.2,6,0,True,True,True,,,,False
